Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)",Analyte
Toxaphene (8001-35-2),8001-35-2,0.49,c,2.1,c,0.0088,c,0.038,c,0.071,c,3,0.011,c,0.46,Toxaphene
Tralomethrin (66841-25-6),66841-25-6,47,n,620,n,        ,,        ,,15,n,,5.8,n,,Tralomethrin
Triacetin (102-76-1),102-76-1,510000,nm,6600000,nm,        ,,        ,,160000,n,,45,n,,Triacetin
Triadimefon (43121-43-3),43121-43-3,210,n,2800,n,        ,,        ,,63,n,,0.05,n,,Triadimefon
Triallate (2303-17-5),2303-17-5,9.7,c*,46,c*,        ,,        ,,0.47,c*,,0.001,c*,,Triallate
Triasulfuron (82097-50-5),82097-50-5,63,n,820,n,        ,,        ,,20,n,,0.021,n,,Triasulfuron
Tribenuron-methyl (101200-48-0),101200-48-0,51,n,660,n,        ,,        ,,16,n,,0.0061,n,,Tribenuron-methyl
"Tribromobenzene, 1,2,4- (615-54-3)",615-54-3,39,n,580,n,        ,,        ,,4.5,n,,0.0064,n,,"Tribromobenzene, 1,2,4-"
"Tribromophenol, 2,4,6- (118-79-6)",118-79-6,57,n,740,n,        ,,        ,,12,n,,0.022,n,,"Tribromophenol, 2,4,6-"
Tributyl Phosphate (126-73-8),126-73-8,60,c**,260,c**,        ,,        ,,5.2,c**,,0.025,c**,,Tributyl Phosphate
Tributyltin Compounds (E1790678),E1790678,1.9,n,25,n,        ,,        ,,0.6,n,,        ,n,,Tributyltin Compounds
Tributyltin Oxide (56-35-9),56-35-9,1.9,n,25,n,        ,,        ,,0.57,n,,29,n,,Tributyltin Oxide
"Trichloro-1,2,2-trifluoroethane, 1,1,2- (76-13-1)",76-13-1,670,n,2800,ns,520,n,2200,n,1000,n,,2.6,n,,"Trichloro-1,2,2-trifluoroethane, 1,1,2-"
Trichloroacetic Acid (76-03-9),76-03-9,7.8,c*,33,c*,        ,,        ,,1.1,c*,60,0.00022,c*,0.012,Trichloroacetic Acid
"Trichloroaniline HCl, 2,4,6- (33663-50-2)",33663-50-2,19,c,79,c,        ,,        ,,2.7,c,,0.0074,c,,"Trichloroaniline HCl, 2,4,6-"
"Trichloroaniline, 2,4,6- (634-93-5)",634-93-5,0.19,n,2.5,n,        ,,        ,,0.04,n,,0.00036,n,,"Trichloroaniline, 2,4,6-"
"Trichlorobenzene, 1,2,3- (87-61-6)",87-61-6,6.3,n,93,n,        ,,        ,,0.7,n,,0.0021,n,,"Trichlorobenzene, 1,2,3-"
"Trichlorobenzene, 1,2,4- (120-82-1)",120-82-1,5.8,n,26,n,0.21,n,0.88,n,0.4,n,70,0.0012,n,0.2,"Trichlorobenzene, 1,2,4-"
"Trichloroethane, 1,1,1- (71-55-6)",71-55-6,810,ns,3600,ns,520,n,2200,n,800,n,200,0.28,n,0.07,"Trichloroethane, 1,1,1-"
"Trichloroethane, 1,1,2- (79-00-5)",79-00-5,0.15,n,0.63,n,0.021,n,0.088,n,0.041,n,5,1.3E-05,n,0.0016,"Trichloroethane, 1,1,2-"
Trichloroethylene (79-01-6),79-01-6,0.41,n,1.9,n,0.21,n,0.88,n,0.28,n,5,0.0001,n,0.0018,Trichloroethylene
Trichlorofluoromethane (75-69-4),75-69-4,2300,ns,35000,ns,        ,,        ,,520,n,,0.33,n,,Trichlorofluoromethane
"Trichlorophenol, 2,4,5- (95-95-4)",95-95-4,630,n,8200,n,        ,,        ,,120,n,,0.4,n,,"Trichlorophenol, 2,4,5-"
"Trichlorophenol, 2,4,6- (88-06-2)",88-06-2,6.3,n,82,n,0.91,c,4,c,1.2,n,,0.0012,n,,"Trichlorophenol, 2,4,6-"
"Trichlorophenoxyacetic Acid, 2,4,5- (93-76-5)",93-76-5,63,n,820,n,        ,,        ,,16,n,,0.0068,n,,"Trichlorophenoxyacetic Acid, 2,4,5-"
"Trichlorophenoxypropionic acid, -2,4,5 (93-72-1)",93-72-1,51,n,660,n,        ,,        ,,11,n,50,0.0061,n,0.028,"Trichlorophenoxypropionic acid, -2,4,5"
"Trichloropropane, 1,1,2- (598-77-6)",598-77-6,39,n,580,n,        ,,        ,,8.8,n,,0.0035,n,,"Trichloropropane, 1,1,2-"
"Trichloropropane, 1,2,3- (96-18-4)",96-18-4,0.0051,c*,0.11,c*,0.031,n,0.13,n,0.00075,c*,,3.2E-07,c*,,"Trichloropropane, 1,2,3-"
"Trichloropropene, 1,2,3- (96-19-5)",96-19-5,0.073,n,0.31,n,0.031,n,0.13,n,0.062,n,,3.1E-05,n,,"Trichloropropene, 1,2,3-"
Tricresyl Phosphate (TCP) (1330-78-5),1330-78-5,130,n,1600,n,        ,,        ,,16,n,,1.5,n,,Tricresyl Phosphate (TCP)
Tridiphane (58138-08-2),58138-08-2,19,n,250,n,        ,,        ,,1.8,n,,0.013,n,,Tridiphane
Triethylamine (121-44-8),121-44-8,12,n,48,n,0.73,n,3.1,n,1.5,n,,0.00044,n,,Triethylamine
Triethylene Glycol (112-27-6),112-27-6,13000,n,160000,nm,        ,,        ,,4000,n,,0.88,n,,Triethylene Glycol
"Trifluoroethane, 1,1,1- (420-46-2)",420-46-2,1500,n,6200,ns,2100,n,8800,n,4200,n,,13,n,,"Trifluoroethane, 1,1,1-"
Trifluralin (1582-09-8),1582-09-8,59,n,420,c**,        ,,        ,,2.6,c**,,0.084,c**,,Trifluralin
Trimethyl Phosphate (512-56-1),512-56-1,27,c**,110,c**,        ,,        ,,3.9,c**,,0.00086,c**,,Trimethyl Phosphate
"Trimethylbenzene, 1,2,3- (526-73-8)",526-73-8,34,n,200,n,6.3,n,26,n,5.5,n,,0.0081,n,,"Trimethylbenzene, 1,2,3-"
"Trimethylbenzene, 1,2,4- (95-63-6)",95-63-6,30,n,180,n,6.3,n,26,n,5.6,n,,0.0081,n,,"Trimethylbenzene, 1,2,4-"
"Trimethylbenzene, 1,3,5- (108-67-8)",108-67-8,27,n,150,n,6.3,n,26,n,6,n,,0.0087,n,,"Trimethylbenzene, 1,3,5-"
"Trimethylpentene, 2,4,4- (25167-70-8)",25167-70-8,78,ns,1200,ns,        ,,        ,,6.5,n,,0.022,n,,"Trimethylpentene, 2,4,4-"
Tri-n-butyltin (688-73-3),688-73-3,2.3,n,35,n,        ,,        ,,0.37,n,,0.0082,n,,Tri-n-butyltin
"Trinitrobenzene, 1,3,5- (99-35-4)",99-35-4,220,n,3200,n,        ,,        ,,59,n,,0.21,n,,"Trinitrobenzene, 1,3,5-"
"Trinitrotoluene, 2,4,6- (118-96-7)",118-96-7,3.6,n,51,n,        ,,        ,,0.98,n,,0.0057,n,,"Trinitrotoluene, 2,4,6-"
Triphenylphosphine Oxide (791-28-6),791-28-6,130,n,1600,n,        ,,        ,,36,n,,0.15,n,,Triphenylphosphine Oxide
"Tris(1,3-Dichloro-2-propyl) Phosphate (13674-87-8)",13674-87-8,130,n,1600,n,        ,,        ,,36,n,,0.8,n,,"Tris(1,3-Dichloro-2-propyl) Phosphate"
Tris(1-chloro-2-propyl)phosphate (13674-84-5),13674-84-5,63,n,820,n,        ,,        ,,19,n,,0.065,n,,Tris(1-chloro-2-propyl)phosphate
"Tris(2,3-dibromopropyl)phosphate (126-72-7)",126-72-7,0.28,c,1.3,c,0.0043,c,0.019,c,0.0068,c,,0.00013,c,,"Tris(2,3-dibromopropyl)phosphate"
Tris(2-chloroethyl)phosphate (115-96-8),115-96-8,27,c**,110,c**,        ,,        ,,3.8,c**,,0.0038,c**,,Tris(2-chloroethyl)phosphate
Tris(2-ethylhexyl)phosphate (78-42-2),78-42-2,170,c**,720,c*,        ,,        ,,24,c**,,120,c**,,Tris(2-ethylhexyl)phosphate
Tungsten (7440-33-7),7440-33-7,6.3,n,93,n,        ,,        ,,1.6,n,,0.24,n,,Tungsten
Uranium (Soluble Salts) (E715565),E715565,1.6,n,23,n,0.0042,n,0.018,n,0.4,n,30,0.18,n,14,Uranium (Soluble Salts)
Urethane (51-79-6),51-79-6,0.12,c,2.3,c,0.0035,c,0.042,c,0.025,c,,5.6E-06,c,,Urethane
Vanadium and Compounds (7440-62-2),7440-62-2,39,n,580,n,0.01,n,0.044,n,8.6,n,,8.6,n,,Vanadium and Compounds
Vanadium Pentoxide (1314-62-1),1314-62-1,66,n,840,n,0.00034,c**,0.0015,c**,15,n,,        ,n,,Vanadium Pentoxide
Vernolate (1929-77-7),1929-77-7,7.8,n,120,n,        ,,        ,,1.1,n,,0.00089,n,,Vernolate
Vinclozolin (50471-44-8),50471-44-8,7.6,n,98,n,        ,,        ,,2.1,n,,0.0016,n,,Vinclozolin
Vinyl Acetate (108-05-4),108-05-4,91,n,380,n,21,n,88,n,41,n,,0.0087,n,,Vinyl Acetate
Vinyl Bromide (593-60-2),593-60-2,0.12,c**,0.52,c**,0.088,c**,0.38,c**,0.18,c**,,5.1E-05,c**,,Vinyl Bromide
Vinyl Chloride (75-01-4),75-01-4,0.059,c,1.7,c*,0.17,c*,2.8,c*,0.019,c,2,6.5E-06,c,0.00069,Vinyl Chloride
Warfarin (81-81-2),81-81-2,1.9,n,25,n,        ,,        ,,0.56,n,,0.00059,n,,Warfarin
"Xylene, m- (108-38-3)",108-38-3,55,n,240,n,10,n,44,n,19,n,,0.019,n,,"Xylene, m-"
"Xylene, o- (95-47-6)",95-47-6,65,n,280,n,10,n,44,n,19,n,,0.019,n,,"Xylene, o-"
"Xylene, P- (106-42-3)",106-42-3,56,n,240,n,10,n,44,n,19,n,,0.019,n,,"Xylene, P-"
Xylenes (1330-20-7),1330-20-7,58,n,250,n,10,n,44,n,19,n,10000,0.019,n,9.9,Xylenes
Zinc and Compounds (7440-66-6),7440-66-6,2300,n,35000,n,        ,,        ,,600,n,,37,n,,Zinc and Compounds
Zinc Phosphide (1314-84-7),1314-84-7,2.3,n,35,n,        ,,        ,,0.6,n,,        ,n,,Zinc Phosphide
Zineb (12122-67-7),12122-67-7,320,n,4100,n,        ,,        ,,99,n,,0.29,n,,Zineb
Zirconium (7440-67-7),7440-67-7,0.63,n,9.3,n,        ,,        ,,0.16,n,,0.48,n,        ,Zirconium
