Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)"
"Trichlorobenzene, 1,2,3-",87-61-6,6.3E+01,n,9.3E+02,n,        ,,        ,,7.0E+00,n,,2.1E-02,n,        
"Trichlorobenzene, 1,2,4-",120-82-1,2.4E+01,c**,1.1E+02,c**,2.1E+00,n,8.8E+00,n,1.2E+00,c**,7.0E+01,3.4E-03,c**,2.0E-01
"Trichloroethane, 1,1,1-",71-55-6,8.1E+03,ns,3.6E+04,ns,5.2E+03,n,2.2E+04,n,8.0E+03,n,2.0E+02,2.8E+00,n,7.0E-02
"Trichloroethane, 1,1,2-",79-00-5,1.1E+00,c**,5.0E+00,c**,1.8E-01,c**,7.7E-01,c**,2.8E-01,c**,5.0E+00,8.9E-05,c**,1.6E-03
Trichloroethylene,79-01-6,9.4E-01,c**,6.0E+00,c**,4.8E-01,c**,3.0E+00,c**,4.9E-01,c**,5.0E+00,1.8E-04,c**,1.8E-03
Trichlorofluoromethane,75-69-4,2.3E+04,ns,3.5E+05,nms,        ,,        ,,5.2E+03,n,,3.3E+00,n,        
"Trichlorophenol, 2,4,5-",95-95-4,6.3E+03,n,8.2E+04,n,        ,,        ,,1.2E+03,n,,4.0E+00,n,        
"Trichlorophenol, 2,4,6-",88-06-2,4.9E+01,c**,2.1E+02,c**,9.1E-01,c,4.0E+00,c,4.1E+00,c**,,4.0E-03,c**,        
"Trichlorophenoxyacetic Acid, 2,4,5-",93-76-5,6.3E+02,n,8.2E+03,n,        ,,        ,,1.6E+02,n,,6.8E-02,n,        
"Trichlorophenoxypropionic acid, -2,4,5",93-72-1,5.1E+02,n,6.6E+03,n,        ,,        ,,1.1E+02,n,5.0E+01,6.1E-02,n,2.8E-02
"Trichloropropane, 1,1,2-",598-77-6,3.9E+02,n,5.8E+03,ns,        ,,        ,,8.8E+01,n,,3.5E-02,n,        
"Trichloropropane, 1,2,3-",96-18-4,5.1E-03,c,1.1E-01,c,3.1E-01,n,1.3E+00,n,7.5E-04,c,,3.2E-07,c,        
"Trichloropropene, 1,2,3-",96-19-5,7.3E-01,n,3.1E+00,n,3.1E-01,n,1.3E+00,n,6.2E-01,n,,3.1E-04,n,        
Tricresyl Phosphate (TCP),1330-78-5,1.3E+03,n,1.6E+04,n,        ,,        ,,1.6E+02,n,,1.5E+01,n,        
Tridiphane,58138-08-2,1.9E+02,n,2.5E+03,n,        ,,        ,,1.8E+01,n,,1.3E-01,n,        
Triethylamine,121-44-8,1.2E+02,n,4.8E+02,n,7.3E+00,n,3.1E+01,n,1.5E+01,n,,4.4E-03,n,        
Triethylene Glycol,112-27-6,1.3E+05,nm,1.6E+06,nm,        ,,        ,,4.0E+04,n,,8.8E+00,n,        
"Trifluoroethane, 1,1,1-",420-46-2,1.5E+04,ns,6.2E+04,ns,2.1E+04,n,8.8E+04,n,4.2E+04,n,,1.3E+02,n,        
Trifluralin,1582-09-8,9.0E+01,c**,4.2E+02,c*,        ,,        ,,2.6E+00,c*,,8.4E-02,c*,        
Trimethyl Phosphate,512-56-1,2.7E+01,c*,1.1E+02,c*,        ,,        ,,3.9E+00,c*,,8.6E-04,c*,        
"Trimethylbenzene, 1,2,3-",526-73-8,3.4E+02,ns,2.0E+03,ns,6.3E+01,n,2.6E+02,n,5.5E+01,n,,8.1E-02,n,        
"Trimethylbenzene, 1,2,4-",95-63-6,3.0E+02,ns,1.8E+03,ns,6.3E+01,n,2.6E+02,n,5.6E+01,n,,8.1E-02,n,        
"Trimethylbenzene, 1,3,5-",108-67-8,2.7E+02,ns,1.5E+03,ns,6.3E+01,n,2.6E+02,n,6.0E+01,n,,8.7E-02,n,        
"Trimethylpentene, 2,4,4-",25167-70-8,7.8E+02,ns,1.2E+04,ns,        ,,        ,,6.5E+01,n,,2.2E-01,n,        
Tri-n-butyltin,688-73-3,2.3E+01,n,3.5E+02,n,        ,,        ,,3.7E+00,n,,8.2E-02,n,        
"Trinitrobenzene, 1,3,5-",99-35-4,2.2E+03,n,3.2E+04,n,        ,,        ,,5.9E+02,n,,2.1E+00,n,        
"Trinitrotoluene, 2,4,6-",118-96-7,2.1E+01,c**,9.6E+01,c**,        ,,        ,,2.5E+00,c**,,1.5E-02,c**,        
Triphenylphosphine Oxide,791-28-6,1.3E+03,n,1.6E+04,n,        ,,        ,,3.6E+02,n,,1.5E+00,n,        
"Tris(1,3-Dichloro-2-propyl) Phosphate",13674-87-8,1.3E+03,n,1.6E+04,n,        ,,        ,,3.6E+02,n,,8.0E+00,n,        
Tris(1-chloro-2-propyl)phosphate,13674-84-5,6.3E+02,n,8.2E+03,n,        ,,        ,,1.9E+02,n,,6.5E-01,n,        
"Tris(2,3-dibromopropyl)phosphate",126-72-7,2.8E-01,c,1.3E+00,c,4.3E-03,c,1.9E-02,c,6.8E-03,c,,1.3E-04,c,        
Tris(2-chloroethyl)phosphate,115-96-8,2.7E+01,c*,1.1E+02,c*,        ,,        ,,3.8E+00,c*,,3.8E-03,c*,        
Tris(2-ethylhexyl)phosphate,78-42-2,1.7E+02,c*,7.2E+02,c,        ,,        ,,2.4E+01,c*,,1.2E+02,c*,        
Tungsten,7440-33-7,6.3E+01,n,9.3E+02,n,        ,,        ,,1.6E+01,n,,2.4E+00,n,        
Uranium (Soluble Salts),E715565,1.6E+01,n,2.3E+02,n,4.2E-02,n,1.8E-01,n,4.0E+00,n,3.0E+01,1.8E+00,n,1.4E+01
Urethane,51-79-6,1.2E-01,c,2.3E+00,c,3.5E-03,c,4.2E-02,c,2.5E-02,c,,5.6E-06,c,        
Vanadium and Compounds,7440-62-2,3.9E+02,n,5.8E+03,n,1.0E-01,n,4.4E-01,n,8.6E+01,n,,8.6E+01,n,        
Vanadium Pentoxide,1314-62-1,4.6E+02,c**,2.0E+03,c**,3.4E-04,c*,1.5E-03,c*,1.5E+02,n,,        ,n,        
Vernolate,1929-77-7,7.8E+01,n,1.2E+03,n,        ,,        ,,1.1E+01,n,,8.9E-03,n,        
Vinclozolin,50471-44-8,7.6E+01,n,9.8E+02,n,        ,,        ,,2.1E+01,n,,1.6E-02,n,        
Vinyl Acetate,108-05-4,9.1E+02,n,3.8E+03,ns,2.1E+02,n,8.8E+02,n,4.1E+02,n,,8.7E-02,n,        
Vinyl Bromide,593-60-2,1.2E-01,c*,5.2E-01,c*,8.8E-02,c*,3.8E-01,c*,1.8E-01,c*,,5.1E-05,c*,        
Vinyl Chloride,75-01-4,5.9E-02,c,1.7E+00,c,1.7E-01,c,2.8E+00,c,1.9E-02,c,2.0E+00,6.5E-06,c,6.9E-04
Warfarin,81-81-2,1.9E+01,n,2.5E+02,n,        ,,        ,,5.6E+00,n,,5.9E-03,n,        
"Xylene, m-",108-38-3,5.5E+02,ns,2.4E+03,ns,1.0E+02,n,4.4E+02,n,1.9E+02,n,,1.9E-01,n,        
"Xylene, o-",95-47-6,6.5E+02,ns,2.8E+03,ns,1.0E+02,n,4.4E+02,n,1.9E+02,n,,1.9E-01,n,        
"Xylene, P-",106-42-3,5.6E+02,ns,2.4E+03,ns,1.0E+02,n,4.4E+02,n,1.9E+02,n,,1.9E-01,n,        
Xylenes,1330-20-7,5.8E+02,ns,2.5E+03,ns,1.0E+02,n,4.4E+02,n,1.9E+02,n,1.0E+04,1.9E-01,n,9.9E+00
Zinc and Compounds,7440-66-6,2.3E+04,n,3.5E+05,nm,        ,,        ,,6.0E+03,n,,3.7E+02,n,        
Zinc Phosphide,1314-84-7,2.3E+01,n,3.5E+02,n,        ,,        ,,6.0E+00,n,,        ,n,        
Zineb,12122-67-7,3.2E+03,n,4.1E+04,n,        ,,        ,,9.9E+02,n,,2.9E+00,n,        
Zirconium,7440-67-7,6.3E+00,n,9.3E+01,n,        ,,        ,,1.6E+00,n,,4.8E+00,n,        
