Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Resident Air
(ug/m3)",key,"Industrial Air
(ug/m3)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)","Risk-based
SSL
(mg/kg)",key,"MCL-based
SSL
(mg/kg)"
Asulam,3337-71-1,2.3E+03,n,3.0E+04,n,        ,,        ,,7.2E+02,n,,1.8E-01,n,        
Atrazine,1912-24-9,2.4E+00,c,1.0E+01,c,        ,,        ,,3.0E-01,c,3.0E+00,2.0E-04,c,1.9E-03
Auramine,492-80-8,6.2E-01,c,2.6E+00,c,1.1E-02,c,4.9E-02,c,6.7E-02,c,,6.1E-04,c,        
Avermectin B1,65195-55-3,2.5E+01,n,3.3E+02,n,        ,,        ,,8.0E+00,n,,1.4E+01,n,        
Azinphos-methyl,86-50-0,1.9E+02,n,2.5E+03,n,1.0E+01,n,4.4E+01,n,5.6E+01,n,,1.7E-02,n,        
Azobenzene,103-33-3,5.6E+00,c,2.6E+01,c,9.1E-02,c,4.0E-01,c,1.2E-01,c,,9.3E-04,c,        
Azodicarbonamide,123-77-3,8.6E+03,n,4.0E+04,n,7.3E-03,n,3.1E-02,n,2.0E+04,n,,6.8E+00,n,        
Barium,7440-39-3,1.5E+04,n,2.2E+05,nm,5.2E-01,n,2.2E+00,n,3.8E+03,n,2.0E+03,1.6E+02,n,8.2E+01
Benfluralin,1861-40-1,3.9E+02,n,5.8E+03,n,        ,,        ,,2.8E+01,n,,9.4E-01,n,        
Benomyl,17804-35-2,3.2E+03,n,4.1E+04,n,        ,,        ,,9.7E+02,n,,8.5E-01,n,        
Bensulfuron-methyl,83055-99-6,1.3E+04,n,1.6E+05,nm,        ,,        ,,3.9E+03,n,,1.0E+00,n,        
Bentazon,25057-89-0,1.9E+03,n,2.5E+04,n,        ,,        ,,5.7E+02,n,,1.2E-01,n,        
Benzaldehyde,100-52-7,1.7E+02,c*,8.2E+02,c,        ,,        ,,1.9E+01,c,,4.1E-03,c,        
Benzene,71-43-2,1.2E+00,c*,5.1E+00,c*,3.6E-01,c*,1.6E+00,c*,4.6E-01,c*,5.0E+00,2.3E-04,c*,2.6E-03
"Benzenediamine-2-methyl sulfate, 1,4-",6369-59-1,5.4E+00,c**,2.3E+01,c*,        ,,        ,,7.8E-01,c**,,2.2E-04,c**,        
Benzenethiol,108-98-5,7.8E+01,n,1.2E+03,n,        ,,        ,,1.7E+01,n,,1.1E-02,n,        
Benzidine,92-87-5,5.3E-04,c,1.0E-02,c,1.5E-05,c,1.8E-04,c,1.1E-04,c,,2.8E-07,c,        
Benzoic Acid,65-85-0,2.5E+05,nm,3.3E+06,nm,        ,,        ,,7.5E+04,n,,1.5E+01,n,        
Benzotrichloride,98-07-7,5.3E-02,c,2.5E-01,c,        ,,        ,,3.0E-03,c,,6.6E-06,c,        
Benzyl Alcohol,100-51-6,6.3E+03,n,8.2E+04,n,        ,,        ,,2.0E+03,n,,4.8E-01,n,        
